bmc_sample_code,sample,run_code
D18-218067-lane1,a03_D03_lane1,lane1
D18-218067-lane2,a03_D03_lane2,lane2
D18-218068-lane1,b05_D03_lane1,lane1
D18-218068-lane2,b05_D03_lane2,lane2
D18-218069-lane1,c07_D03_lane1,lane1
D18-218069-lane2,c07_D03_lane2,lane2
D18-218070-lane1,a09_D04_lane1,lane1
D18-218070-lane2,a09_D04_lane2,lane2
D18-218071-lane1,c01_D04_lane1,lane1
D18-218071-lane2,c01_D04_lane2,lane2
D18-218072-lane1,a03_D05_lane1,lane1
D18-218072-lane2,a03_D05_lane2,lane2
D18-218073-lane1,a10_D02_lane1,lane1
D18-218073-lane2,a10_D02_lane2,lane2
D18-218074-lane1,c02_D02_lane1,lane1
D18-218074-lane2,c02_D02_lane2,lane2
D18-218075-lane1,a04_D03_lane1,lane1
D18-218075-lane2,a04_D03_lane2,lane2
D18-218076-lane1,b06_D03_lane1,lane1
D18-218076-lane2,b06_D03_lane2,lane2
D18-218077-lane1,c08_D03_lane1,lane1
D18-218077-lane2,c08_D03_lane2,lane2
D18-218078-lane1,a10_D04_lane1,lane1
D18-218078-lane2,a10_D04_lane2,lane2
D18-218079-lane1,c02_D04_lane1,lane1
D18-218079-lane2,c02_D04_lane2,lane2
D18-218080-lane1,a04_D05_lane1,lane1
D18-218080-lane2,a04_D05_lane2,lane2
D18-218081-lane1,b01_D02_lane1,lane1
D18-218081-lane2,b01_D02_lane2,lane2
D18-218082-lane1,c03_D02_lane1,lane1
D18-218082-lane2,c03_D02_lane2,lane2
D18-218083-lane1,a05_D03_lane1,lane1
D18-218083-lane2,a05_D03_lane2,lane2
D18-218084-lane1,b07_D03_lane1,lane1
D18-218084-lane2,b07_D03_lane2,lane2
D18-218085-lane1,c09_D03_lane1,lane1
D18-218085-lane2,c09_D03_lane2,lane2
D18-218086-lane1,b01_D04_lane1,lane1
D18-218086-lane2,b01_D04_lane2,lane2
D18-218087-lane1,c03_D04_lane1,lane1
D18-218087-lane2,c03_D04_lane2,lane2
D18-218088-lane1,a05_D05_lane1,lane1
D18-218088-lane2,a05_D05_lane2,lane2
D18-218089-lane1,b02_D02_lane1,lane1
D18-218089-lane2,b02_D02_lane2,lane2
D18-218090-lane1,c04_D02_lane1,lane1
D18-218090-lane2,c04_D02_lane2,lane2
D18-218091-lane1,a06_D03_lane1,lane1
D18-218091-lane2,a06_D03_lane2,lane2
D18-218092-lane1,b08_D03_lane1,lane1
D18-218092-lane2,b08_D03_lane2,lane2
D18-218093-lane1,c10_D03_lane1,lane1
D18-218093-lane2,c10_D03_lane2,lane2
D18-218094-lane1,b02_D04_lane1,lane1
D18-218094-lane2,b02_D04_lane2,lane2
D18-218095-lane1,c04_D04_lane1,lane1
D18-218095-lane2,c04_D04_lane2,lane2
D18-218096-lane1,a06_D05_lane1,lane1
D18-218096-lane2,a06_D05_lane2,lane2
D18-218097-lane3,a07_D05_lane3,lane3
D18-218097-lane4,a07_D05_lane4,lane4
D18-218097-lane5,a07_D05_lane5,lane5
D18-218097-lane6,a07_D05_lane6,lane6
D18-218098-lane3,b09_D05_lane3,lane3
D18-218098-lane4,b09_D05_lane4,lane4
D18-218098-lane5,b09_D05_lane5,lane5
D18-218098-lane6,b09_D05_lane6,lane6
D18-218099-lane3,a01_D06_lane3,lane3
D18-218099-lane4,a01_D06_lane4,lane4
D18-218099-lane5,a01_D06_lane5,lane5
D18-218099-lane6,a01_D06_lane6,lane6
D18-218100-lane3,b03_D06_lane3,lane3
D18-218100-lane4,b03_D06_lane4,lane4
D18-218100-lane5,b03_D06_lane5,lane5
D18-218100-lane6,b03_D06_lane6,lane6
D18-218101-lane3,c05_D06_lane3,lane3
D18-218101-lane4,c05_D06_lane4,lane4
D18-218101-lane5,c05_D06_lane5,lane5
D18-218101-lane6,c05_D06_lane6,lane6
D18-218102-lane3,a07_D07_lane3,lane3
D18-218102-lane4,a07_D07_lane4,lane4
D18-218102-lane5,a07_D07_lane5,lane5
D18-218102-lane6,a07_D07_lane6,lane6
D18-218103-lane3,b09_D07_lane3,lane3
D18-218103-lane4,b09_D07_lane4,lane4
D18-218103-lane5,b09_D07_lane5,lane5
D18-218103-lane6,b09_D07_lane6,lane6
